"A7995","B51575","0.9174376158465564"
"A3565","B9875","0.9174376158465564"
"A853","B26846","0.9174376158465564"
"A7949","B65559","0.9174376158465564"
"A6844","B77452","0.9174376158465564"
"A9361","B79386","0.9174376158465564"
"A5088","B3505","0.9174376158465564"
"A5990","B20532","0.9174376158465564"
"A1649","B14918","0.9174376158465564"
"A3457","B57812","0.9174376158465564"
"A6183","B81533","0.9174376158465564"
"A5492","B28960","0.9174376158465564"
"A9154","B71831","0.9174376158465564"
"A761","B24826","0.9174376158465564"
"A7282","B67892","0.9174376158465564"
"A1351","B2503","0.9174376158465564"
"A6102","B73855","0.9174376158465564"
"A7741","B11257","0.9174376158465564"
"A770","B9532","0.9174376158465564"
"A3287","B4773","0.9174376158465564"
"A6184","B72580","0.9174376158465564"
"A8497","B94450","0.9174376158465564"
"A6259","B72400","0.9174376158465564"
"A4157","B59186","0.9174376158465564"
"A6740","B65121","0.9174376158465564"
"A1439","B45923","0.9174376158465564"
"A1846","B7469","0.9174376158465564"
"A4326","B10995","0.9174376158465564"
"A6886","B41099","0.9174376158465564"
"A9698","B49304","0.9174376158465564"
"A6761","B20157","0.9174376158465564"
"A9935","B93547","0.9174376158465564"
"A3565","B6994","0.9174376158465564"
"A770","B2692","0.9174376158465564"
"A3455","B27935","0.9174376158465564"
"A6096","B11361","0.9174376158465564"
"A136","B13543","0.9174376158465564"
"A8166","B36139","0.9174376158465564"
"A4326","B628","0.9174376158465564"
"A266","B9766","0.9174376158465564"
"A9301","B93649","0.9174376158465564"
"A4528","B4994","0.9174376158465564"
"A3455","B17894","0.9174376158465564"
"A7741","B913","0.9174376158465564"
"A5411","B68368","0.9174376158465564"
"A9154","B81279","0.9174376158465564"
"A2502","B15585","0.9174376158465564"
"A5320","B44301","0.9174376158465564"
"A1343","B44886","0.9174376158465564"
"A8929","B7373","0.9174376158465564"
"A6129","B25300","0.9174376158465564"
"A8166","B47284","0.9174376158465564"
"A8140","B33980","0.9174376158465564"
"A4224","B64100","0.9174376158465564"
"A5866","B74624","0.9174376158465564"
"A4427","B35384","0.8175986911910385"
"A6129","B18033","0.9174376158465564"
"A2425","B21599","0.9174376158465564"
"A8166","B37349","0.9174376158465564"
"A2425","B18144","0.9174376158465564"
"A4639","B12255","0.9174376158465564"
"A4326","B10114","0.9174376158465564"
"A5123","B37314","0.9174376158465564"
"A8660","B88910","0.9174376158465564"
"A1413","B7026","0.9174376158465564"
"A3996","B12264","0.9174376158465564"
"A2502","B11362","0.9174376158465564"
"A7369","B20589","0.9174376158465564"
"A3287","B7784","0.9174376158465564"
"A1451","B41719","0.9174376158465564"
"A1164","B16820","0.9174376158465564"
"A178","B6176","0.9174376158465564"
"A1413","B8367","0.9174376158465564"
"A9510","B4637","0.9174376158465564"
"A4224","B55516","0.9174376158465564"
"A2173","B41156","0.9174376158465564"
"A8675","B82198","0.9174376158465564"
"A4265","B40441","0.9174376158465564"
"A5320","B35351","0.9174376158465564"
"A9510","B861","0.9174376158465564"
"A1451","B43294","0.9174376158465564"
"A1703","B41397","0.9174376158465564"
"A6848","B9532","0.9174376158465564"
"A1343","B46554","0.9174376158465564"
"A8140","B47261","0.9174376158465564"
"A3297","B48804","0.9174376158465564"
"A9708","B12988","0.9174376158465564"
"A4260","B41167","0.9174376158465564"
"A550","B11800","0.9174376158465564"
"A5293","B20928","0.9174376158465564"
"A5544","B17662","0.9174376158465564"
"A8166","B35677","0.9174376158465564"
"A5406","B5669","0.9174376158465564"
"A5334","B12394","0.9174376158465564"
"A8166","B46073","0.9174376158465564"
"A2203","B1121","0.9174376158465564"
"A2656","B87845","0.9174376158465564"
"A6184","B79687","0.9174376158465564"
"A7146","B91278","0.9174376158465564"
"A6010","B18516","0.9174376158465564"
"A5990","B32272","0.9174376158465564"
"A6848","B2692","0.9174376158465564"
"A2098","B34276","0.9174376158465564"
"A266","B9898","0.9174376158465564"
"A2673","B60040","0.9174376158465564"
"A1738","B22294","0.9174376158465564"
"A303","B9098","0.9174376158465564"
"A9795","B68662","0.9174376158465564"
"A2425","B23880","0.9174376158465564"
"A4382","B3116","0.9174376158465564"
"A1152","B20611","0.9174376158465564"
"A1451","B36734","0.9174376158465564"
"A6062","B21150","0.9174376158465564"
"A931","B21128","0.9174376158465564"
"A4107","B28283","0.9174376158465564"
"A4020","B6288","0.9174376158465564"
"A4176","B10932","0.9174376158465564"
"A6612","B49754","0.9174376158465564"
"A6279","B53071","0.9174376158465564"
"A6304","B75495","0.9174376158465564"
"A3908","B15828","0.9174376158465564"
"A2098","B38499","0.9174376158465564"
"A6798","B26317","0.9174376158465564"
"A7444","B83587","0.9174376158465564"
"A1365","B41893","0.9174376158465564"
"A454","B32509","0.9174376158465564"
"A7929","B20548","0.9174376158465564"
"A3963","B84866","0.9174376158465564"
"A1012","B30030","0.9174376158465564"
"A4208","B23933","0.9174376158465564"
"A1072","B18400","0.9174376158465564"
"A6592","B39404","0.9174376158465564"
"A770","B945","0.9174376158465564"
"A5934","B14696","0.9174376158465564"
"A2098","B49735","0.9174376158465564"
"A3996","B3669","0.9174376158465564"
"A5492","B16737","0.9174376158465564"
"A8767","B26820","0.9174376158465564"
"A1807","B11713","0.9174376158465564"
"A1108","B25766","0.9174376158465564"
"A4795","B20267","0.9174376158465564"
"A6184","B67591","0.9174376158465564"
"A2038","B20473","0.9174376158465564"
"A9279","B22903","0.9174376158465564"
"A9103","B572","0.9174376158465564"
"A9698","B48971","0.9174376158465564"
"A1781","B15515","0.9174376158465564"
"A8029","B55383","0.9174376158465564"
